name,git,cloned
h-m-m,https://github.com/nadrad/h-m-m,False
ipcalc,https://github.com/kjokjo/ipcalc,False
PSSH,https://github.com/lilydjwg/pssh,False
rtop,https://github.com/rapidloop/rtop,False
geoiplookup,https://github.com/maxmind/geoip-api-c,False
quickserve,https://github.com/charliesome/quickserve,False
ack,https://github.com/beyondgrep/ack3,False
ag,https://github.com/ggreer/the_silver_searcher,False
paragrep,https://github.com/bmc/paragrep,False
sift,https://github.com/svent/sift,False
ccat,https://github.com/jingweno/ccat,False
fzf,https://github.com/junegunn/fzf,False
grc,https://github.com/pengwynn/grc,False
jq,https://github.com/stedolan/jq,False
percol,https://github.com/mooz/percol,False
pick,https://github.com/calleerlandsson/pick,False
q,https://github.com/harelba/q,False
FIGlet,https://github.com/cmatsuoka/figlet,False
toilet,https://github.com/cacalabs/toilet,False
Emacs,http://git.savannah.gnu.org/cgit/emacs.git/,False
jed,https://github.com/jedsoft/jed,False
joe,https://sourceforge.net/projects/joe-editor/,False
nano,https://git.savannah.gnu.org/cgit/nano.git/log/,False
micro,https://github.com/zyedidia/micro/,False
neovim,https://github.com/neovim/neovim,False
slap,https://github.com/slap-editor/slap,False
vai,https://github.com/stefanoborini/vai,False
vim,https://github.com/vim/vim,False
vis,https://github.com/martanne/vis,False
WordGrinder,https://github.com/davidgiven/wordgrinder,False
byobu,https://github.com/dustinkirkland/byobu,False
screen,https://git.savannah.gnu.org/cgit/screen.git,False
Tmate,https://github.com/tmate-io/tmate,False
tmux,https://github.com/tmux/tmux,False
warp,https://github.com/spolu/warp,False
bpytop,https://github.com/aristocratos/bpytop,False
cv,https://github.com/Xfennec/progress,False
glances,https://github.com/nicolargo/glances,False
GoTTY,https://github.com/yudai/gotty,False
inxi,https://github.com/smxi/inxi,False
iotop,https://repo.or.cz/w/iotop.git,False
htop,https://github.com/htop-dev/htop,False
multitail,https://github.com/folkertvanheusden/multitail,False
ngrep,https://github.com/jpr5/ngrep/,False
progress,https://github.com/Xfennec/progress,False
powertop,https://github.com/fenrus75/powertop,False
sysdig,https://github.com/draios/sysdig,False
smem,https://selenic.com/repo/smem,False
top,,False
watch,,False
wtf,https://github.com/wtfutil/wtf,False
Bash,https://git.savannah.gnu.org/cgit/bash.git,False
Fish,https://github.com/fish-shell/fish-shell,False
Zsh,https://sourceforge.net/p/zsh/code/ci/master/tree/,False
conspy,https://sourceforge.net/p/conspy/code/ci/default/tree/,False
lshw,https://ezix.org/src/pkg/lshw,False
Ntfy,https://github.com/dschep/ntfy,False
task-spooler,,False
ttyload,https://github.com/lindes/ttyload,False
hstr,https://github.com/dvorka/hstr,False
parallel,https://git.savannah.gnu.org/cgit/parallel.git,False
cipher,https://github.com/ash-shell/cipher,False
hashcat,https://github.com/hashcat/hashcat,False
encfs,https://github.com/vgough/encfs,False
LUKS,https://github.com/guardianproject/luks/wiki,False
safe.sh,https://github.com/windowsrefund/safe,False
titan,https://github.com/nrosvall/ylva,False
trino,https://github.com/eneserdogan/trino,False
Teapot,,False
sc-im,https://github.com/andmarti1424/sc-im,False
tpp,https://github.com/Kerrick/tpp,False
gcalcli,https://github.com/insanum/gcalcli,False
khal,https://github.com/pimutils/khal,False
ppl addressbook,https://github.com/henrycatalinismith/ppl,False
kb,https://github.com/gnebbia/kb,False
khard,https://github.com/lucc/khard,False
iKog,https://github.com/boyska/ikog,False
Yokadi,https://github.com/agateau/yokadi,False
Org mode,https://git.savannah.gnu.org/cgit/emacs/org-mode.git,False
pal,https://sourceforge.net/p/palcal/code/HEAD/tree/,False
Remind,https://git.skoll.ca/Skollsoft-Public/Remind,False
TaskWarrior,https://github.com/GothenburgBitFactory/taskwarrior,False
todo.txt,https://github.com/todotxt/todo.txt-cli,False
todolist,,False
TuDu,https://github.com/meskio/tudu,False
Wyrd,https://gitlab.com/wyrd-calendar/wyrd,False
arbtt,https://github.com/nomeata/arbtt,False
ledger,https://github.com/ledger/ledger,False
Qalculate,https://github.com/Qalculate/libqalculate,False
Translate Shell,https://github.com/soimort/translate-shell,False
cacaview,https://github.com/cacalabs/libcaca,False
glow,https://github.com/charmbracelet/glow,False
